Season,Week,Team,Score,Opponent,Win
2013,1,DMPS,97.4,SLNH,0
2013,1,FLUF,97.8,MEGA,0
2013,1,SLNH,100.6,DMPS,1
2013,1,ROBO,110.8,MCHO,0
2013,1,AFB,112.3,PHSH,0
2013,1,MCHO,112.7,ROBO,1
2013,1,SHSR,122,ATOM,0
2013,1,ATOM,124.4,SHSR,1
2013,1,TGIF,125.3,OCTO,1
2013,1,PHSH,126.5,AFB,1
2013,1,MEGA,147.1,FLUF,1
2013,2,OCTO,91.5,MCHO,0
2013,2,SHSR,61.5,ROBO,0
2013,2,ATOM,115.6,PHSH,0
2013,2,DMPS,68.3,AFB,0
2013,2,TGIF,146.9,FLUF,1
2013,2,ROBO,133.4,SHSR,1
2013,2,MEGA,81.4,SLNH,0
2013,2,PHSH,121,ATOM,1
2013,2,AFB,130.8,DMPS,1
2013,2,FLUF,120.3,TGIF,0
2013,2,MCHO,142.4,OCTO,1
2013,2,SLNH,96.3,MEGA,1
2013,3,OCTO,82.2,SHSR,1
2013,3,SHSR,68.4,OCTO,0
2013,3,ATOM,114.8,ROBO,0
2013,3,DMPS,141.9,MEGA,1
2013,3,TGIF,72.2,SLNH,0
2013,3,ROBO,135.7,ATOM,1
2013,3,MEGA,112.5,DMPS,0
2013,3,PHSH,94.6,MCHO,0
2013,3,AFB,83.5,FLUF,0
2013,3,FLUF,90.4,AFB,1
2013,3,MCHO,104.2,PHSH,1
2013,3,SLNH,101.1,TGIF,1
2013,4,OCTO,91,ATOM,0
2013,4,SHSR,113.3,MCHO,0
2013,4,ATOM,132.6,OCTO,1
2013,4,DMPS,114.6,FLUF,0
2013,4,TGIF,84.5,MEGA,0
2013,4,ROBO,109.7,PHSH,0
2013,4,MEGA,102.3,TGIF,1
2013,4,PHSH,122.4,ROBO,1
2013,4,AFB,103.7,SLNH,0
2013,4,FLUF,122.1,DMPS,1
2013,4,MCHO,140.7,SHSR,1
2013,4,SLNH,133.7,AFB,1
2013,5,OCTO,71.7,SLNH,0
2013,5,SHSR,135.5,TGIF,1
2013,5,ATOM,118.5,AFB,1
2013,5,DMPS,114.3,PHSH,1
