ID,PrevWeek,2WeekAvg,3WeekAvg,4WeekAvg,Max,Min,Score
SLNH-2012-10,95.5,82.05,72.48333333,67.52916667,128.5,38.1,85.9
TGIF-2012-10,106.4,81.65,81.25,82.0875,137.4,56.9,78.9
AFB-2012-11,69.3,80.25,85.68333333,87.375,126.3,66.6,85.3
ATOM-2012-11,58.6,84.8,91.01666667,93.30416667,111,58.6,57.2
DMPS-2012-11,114.5,98.45,94.26666667,92.26666667,115.4,79.3,104
FLUF-2012-11,115.6,122.85,122,120.7458333,130.1,66.5,93
MCHO-2012-11,102.4,84.8,80.45,79.7125,116.4,67.2,90.9
MEGA-2012-11,82.2,91.9,93.18333333,93.025,128.3,52.1,67.6
OCTO-2012-11,127.4,115,110.95,108.7458333,127.4,71.8,105.8
PHSH-2012-11,58.6,94,96.61666667,96.0375,129.4,58.6,103.4
ROBO-2012-11,111,91.35,82.15,76.95,111,55.8,82.4
SHSR-2012-11,88.7,101.75,109.4166667,112.2958333,134.7,67.1,87.1
SLNH-2012-11,85.9,90.7,87.81666667,83.98333333,128.5,38.1,51.7
TGIF-2012-11,78.9,92.65,88.98333333,87.05,137.4,56.9,90.5
AFB-2012-12,85.3,77.3,78.28333333,80.13333333,126.3,66.6,84.4
ATOM-2012-12,57.2,57.9,66.86666667,72.90416667,111,57.2,50.9
DMPS-2012-12,104,109.25,105.65,102.8041667,115.4,79.3,100.4
FLUF-2012-12,93,104.3,110.4833333,113.3625,130.1,66.5,92.2
MCHO-2012-12,90.9,96.65,92.7,89.6375,116.4,67.2,100.1
MEGA-2012-12,67.6,74.9,80.56666667,83.72083333,128.3,52.1,85.7
OCTO-2012-12,105.8,116.6,116.0666667,114.7875,127.4,71.8,141.9
PHSH-2012-12,103.4,81,85.33333333,88.15416667,129.4,58.6,111.5
ROBO-2012-12,82.4,96.7,94.91666667,91.725,111,55.8,83.8
SHSR-2012-12,87.1,87.9,92.51666667,96.74166667,134.7,67.1,107.4
SLNH-2012-12,51.7,68.8,76.1,79.02916667,128.5,38.1,81.2
TGIF-2012-12,90.5,84.7,87.35,87.75833333,137.4,56.9,110.7
AFB-2012-13,84.4,84.85,82.33333333,81.32083333,126.3,66.6,96
ATOM-2012-13,50.9,54.05,55.33333333,58.21666667,111,50.9,66.6
DMPS-2012-13,100.4,102.2,104.55,104.825,115.4,79.3,78
FLUF-2012-13,92.2,92.6,96.5,99.99583333,130.1,66.5,120
MCHO-2012-13,100.1,95.5,95.88333333,95.0875,116.4,67.2,87.1
MEGA-2012-13,85.7,76.65,76.06666667,77.19166667,128.3,52.1,82.3
OCTO-2012-13,141.9,123.85,121.4333333,120.0916667,141.9,71.8,148.5
PHSH-2012-13,111.5,107.45,98.63333333,95.30833333,129.4,58.6,85.4
ROBO-2012-13,83.8,83.1,87.63333333,89.45416667,111,55.8,92.8
SHSR-2012-13,107.4,97.25,94.13333333,93.72916667,134.7,67.1,74.7
SLNH-2012-13,81.2,66.45,67.23333333,69.45,128.5,38.1,70.9
TGIF-2012-13,110.7,100.6,95.3,93.3125,137.4,56.9,80.6
AFB-2012-14,96,90.2,88.41666667,86.89583333,126.3,66.6,88.8
